date,state_name,state_code,region,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy
2020-12-28,All India,99,Unknown,93.84,155.28,28.06,277.18
2020-12-29,All India,99,Unknown,158.25,151.49,30.25,339.99
2020-12-30,All India,99,Unknown,209.06,155.2,29.06,393.32
2020-12-31,All India,99,Unknown,201.67,124.78,27.46,353.91
2021-01-01,All India,99,Unknown,172.74,140.08,27.72,340.54
2021-01-02,All India,99,Unknown,157.45,124.56,29.31,311.32
2021-01-03,All India,99,Unknown,127.43,121.9,27.91,277.24
2021-01-04,All India,99,Unknown,124.74,119.0,27.86,271.6
2021-01-05,All India,99,Unknown,119.65,103.52,27.52,250.69
2021-01-06,All India,99,Unknown,97.16,96.79,28.31,222.26
2021-01-07,All India,99,Unknown,134.64,100.15,26.34,261.13
2021-01-08,All India,99,Unknown,132.18,128.32,27.29,287.79
2021-01-09,All India,99,Unknown,154.1,106.64,27.96,288.7
2021-01-10,All India,99,Unknown,122.62,137.11,49.16,308.89
2021-01-11,All India,99,Unknown,115.56,132.57,48.6,296.73
2021-01-12,All India,99,Unknown,140.1,143.14,27.22,310.46
2021-01-13,All India,99,Unknown,107.63,147.39,29.06,284.08
2021-01-14,All India,99,Unknown,83.08,142.61,28.64,254.33
2021-01-15,All India,99,Unknown,86.36,151.56,26.9,264.82
2021-01-16,All India,99,Unknown,85.0,147.2,26.36,258.56
2021-01-17,All India,99,Unknown,95.47,160.86,27.47,283.8
2021-01-18,All India,99,Unknown,139.07,148.09,48.28,335.44
2021-01-19,All India,99,Unknown,84.86,158.19,47.5,290.55
2021-01-20,All India,99,Unknown,50.7,166.58,28.42,245.7
2021-01-21,All India,99,Unknown,35.12,165.76,27.76,228.64
2021-01-22,All India,99,Unknown,68.03,155.02,29.99,253.04
2021-01-23,All India,99,Unknown,79.93,155.7,28.98,264.61
2021-01-24,All India,99,Unknown,87.23,168.25,29.28,284.76
2021-01-25,All India,99,Unknown,110.57,179.75,30.54,320.86
2021-01-26,All India,99,Unknown,96.6,182.57,30.98,310.15
2021-01-27,All India,99,Unknown,103.32,180.94,29.13,313.39
2021-01-28,All India,99,Unknown,118.58,177.45,27.47,323.5
2021-01-29,All India,99,Unknown,111.9,174.09,28.59,314.58
2021-01-30,All India,99,Unknown,84.24,177.51,29.75,291.5
2021-01-31,All India,99,Unknown,80.74,177.4,29.06,287.2
2021-02-01,All India,99,Unknown,102.56,182.91,24.23,309.7
2021-02-02,All India,99,Unknown,102.22,178.95,30.98,312.15
2021-02-03,All India,99,Unknown,96.05,176.58,26.92,299.55
2021-02-04,All India,99,Unknown,124.61,179.18,26.74,330.53
2021-02-05,All India,99,Unknown,125.99,186.12,26.03,338.14
2021-02-06,All India,99,Unknown,140.11,191.9,27.18,359.19
2021-02-07,All India,99,Unknown,135.91,186.97,47.84,370.72
2021-02-08,All India,99,Unknown,155.01,195.78,46.47,397.26
2021-02-09,All India,99,Unknown,81.46,190.25,27.57,299.28
2021-02-11,All India,99,Unknown,65.25,186.32,29.86,281.43
2021-02-12,All India,99,Unknown,76.64,195.49,26.85,298.98
2021-02-13,All India,99,Unknown,63.3,197.09,26.85,287.24
2021-02-14,All India,99,Unknown,50.5,188.33,47.53,286.36
2021-02-15,All India,99,Unknown,61.34,186.35,45.66,293.35
2021-02-16,All India,99,Unknown,64.48,176.59,25.78,266.85
2021-02-17,All India,99,Unknown,61.57,133.19,44.84,239.6
2021-02-18,All India,99,Unknown,118.37,172.36,24.8,315.53
2021-02-19,All India,99,Unknown,147.93,143.72,45.19,336.84
2021-02-20,All India,99,Unknown,130.03,171.2,42.94,344.17
2021-02-22,All India,99,Unknown,71.94,180.2,25.98,278.12
2021-02-23,All India,99,Unknown,76.42,191.75,46.82,314.99
